iter	Passed	Remaining
0	0	79
1	1	76
2	2	72
3	2	67
4	3	66
5	4	65
6	4	64
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	9	60
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	13	55
20	14	54
21	15	54
22	16	54
23	17	53
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
